Produktivmandant                                                                              Line Items Extract                                                                             Time 16:46:26     Date  20.12.2024
Gütersloh         Ledger 0L                                                                                                                                                                  RFBPET00/RHUELITL Page           1

	CoCd	DocumentNo				Type		Pstng Date			Period	Year		Doc. Date	Entry Date		User Name		Reference
	BusA	Itm	PK	SG	Tx		PayT		AccTy	Account			D/C	      Amount in LC		Crcy		      Amount in FC		Crcy	D/C	   LC tax amount	Crcy	      Tax Amount	Crcy	Name 1	City	Short Text

	3800	900011369				RV		05.04.2018			     4	2018		05.04.2018	06.04.2018		SAPBTC_APPL		0082536700
		 45	40						S	6601050			S	            14.20		MXN		             0.71		USD
		 46	50						S	3000127			H	-14.20		MXN		-0.71		USD
		 47	50		A0				S	4001402			H	-834.92		MXN		-41.76		USD
		 48	40						S	6601050			S	             8.40		MXN		             0.42		USD
		 49	50						S	3000127			H	-8.40		MXN		-0.42		USD
		 50	50		A0				S	4001402			H	-1,410.73		MXN		-70.56		USD
		 51	40						S	6601050			S	            14.20		MXN		             0.71		USD
		 52	50						S	3000127			H	-14.20		MXN		-0.71		USD
		 53	50		A0				S	4001402			H	-1,410.73		MXN		-70.56		USD
		 54	40						S	6601050			S	            14.20		MXN		             0.71		USD
		 55	50						S	3000127			H	-14.20		MXN		-0.71		USD
		 56	50		A0				S	4001402			H	-75,373.52		MXN		-3,769.92		USD
		 57	40						S	6601050			S	           753.75		MXN		            37.70		USD
		 58	50						S	3000127			H	-753.75		MXN		-37.70		USD
		 59	50		A0				S	4001402			H	-834.92		MXN		-41.76		USD
		 60	40						S	6601050			S	             8.40		MXN		             0.42		USD
		 61	50						S	3000127			H	-8.40		MXN		-0.42		USD
		 62	50		A0				S	4001402			H	-1,410.73		MXN		-70.56		USD
		 63	40						S	6601050			S	            14.20		MXN		             0.71		USD
		 64	50						S	3000127			H	-14.20		MXN		-0.71		USD

	3800	900022279				RV		26.06.2018			     6	2018		26.06.2018	27.06.2018		SAPBTC_APPL		0082613627
		  1	01		A0		R029		D	29060000			S	     1,925,857.38		MXN		        95,688.12		USD
		  2	50		A0				S	4000102			H	-213,814.84		MXN		-10,623.60		USD
		  3	40						S	6601050			S	         2,138.23		MXN		           106.24		USD
		  4	50						S	3000127			H	-2,138.23		MXN		-106.24		USD
		  5	50		A0				S	4000102			H	-351,962.43		MXN		-17,487.60		USD
		  6	40						S	6601050			S	         3,519.70		MXN		           174.88		USD
		  7	50						S	3000127			H	-3,519.70		MXN		-174.88		USD
		  8	50		A0				S	4000602			H	-205,772.31		MXN		-10,224.00		USD
		  9	40						S	6601050			S	         2,057.72		MXN		           102.24		USD
		 10	50						S	3000127			H	-2,057.72		MXN		-102.24		USD
		 11	50		A0				S	4000102			H	-123,656.60		MXN		-6,144.00		USD
		 12	40						S	6601050			S	         1,236.57		MXN		            61.44		USD
		 13	50						S	3000127			H	-1,236.57		MXN		-61.44		USD
		 14	50		A0				S	4000602			H	-231,493.85		MXN		-11,502.00		USD
		 15	40						S	6601050			S	         2,314.94		MXN		           115.02		USD
		 16	50						S	3000127			H	-2,314.94		MXN		-115.02		USD
		 17	50		A0				S	4000302			H	-37,096.98		MXN		-1,843.20		USD
		 18	40						S	6601050			S	           370.93		MXN		            18.43		USD
		 19	50						S	3000127			H	-370.93		MXN		-18.43		USD
		 20	50		A0				S	4000302			H	-37,096.98		MXN		-1,843.20		USD
		 21	40						S	6601050			S	           370.93		MXN		            18.43		USD
		 22	50						S	3000127			H	-370.93		MXN		-18.43		USD
		 23	50		A0				S	4000302			H	-9,245.26		MXN		-459.36		USD
		 24	40						S	6601050			S	            92.38		MXN		             4.59		USD
		 25	50						S	3000127			H	-92.38		MXN		-4.59		USD
		 26	50		A0				S	4000302			H	-26,663.45		MXN		-1,324.80		USD
		 27	40						S	6601050			S	           266.67		MXN		            13.25		USD
		 28	50						S	3000127			H	-266.67		MXN		-13.25		USD
		 29	50		A0				S	4000302			H	-26,663.45		MXN		-1,324.80		USD
		 30	40						S	6601050			S	           266.67		MXN		            13.25		USD
		 31	50						S	3000127			H	-266.67		MXN		-13.25		USD
		 32	50		A0				S	4000302			H	-18,490.53		MXN		-918.72		USD
		 33	40						S	6601050			S	           184.96		MXN		             9.19		USD
		 34	50						S	3000127			H	-184.96		MXN		-9.19		USD
		 35	50		A0				S	4000302			H	-18,490.53		MXN		-918.72		USD
		 36	40						S	6601050			S	           184.96		MXN		             9.19		USD
		 37	50						S	3000127			H	-184.96		MXN		-9.19		USD
		 38	50		A0				S	4000302			H	-625,410.17		MXN		-31,074.12		USD
		 39	40						S	6601050			S	         6,254.08		MXN		           310.74		USD
		 40	50						S	3000127			H	-6,254.08		MXN		-310.74		USD

	3800	900022533				RV		27.06.2018			     6	2018		27.06.2018	28.06.2018		RHUELITL		0094303755
		  1	01		A0		IC01		D	10400000			S	       325,370.51		MXN		        16,195.00		USD
		  2	50		A0				S	4001503			H	-325,370.51		MXN		-16,195.00		USD

	3800	900022977				RV		02.07.2018			     7	2018		02.07.2018	03.07.2018		SAPBTC_APPL		0082619486
		  1	01		A0		R029		D	29060000			S	         6,336.04		MXN		           321.77		USD
		  2	50		A0				S	4000302			H	-447.98		MXN		-22.75		USD
		  3	40						S	6601050			S	             4.53		MXN		             0.23		USD
		  4	50						S	3000127			H	-4.53		MXN		-0.23		USD
		  5	50		A0				S	4000302			H	-1,455.57		MXN		-73.92		USD
		  6	40						S	6601050			S	            14.57		MXN		             0.74		USD
		  7	50						S	3000127			H	-14.57		MXN		-0.74		USD
		  8	50		A0				S	4000302			H	-1,256.30		MXN		-63.80		USD
		  9	40						S	6601050			S	            12.60		MXN		             0.64		USD
		 10	50						S	3000127			H	-12.60		MXN		-0.64		USD
		 11	50		A0				S	4000302			H	-1,663.51		MXN		-84.48		USD
		 12	40						S	6601050			S	            16.54		MXN		             0.84		USD
		 13	50						S	3000127			H	-16.54		MXN		-0.84		USD
		 14	50		A0				S	4000302			H	-680.92		MXN		-34.58		USD
		 15	40						S	6601050			S	             6.89		MXN		             0.35		USD
		 16	50						S	3000127			H	-6.89		MXN		-0.35		USD
		 17	50		A0				S	4000302			H	-831.76		MXN		-42.24		USD
		 18	40						S	6601050			S	             8.27		MXN		             0.42		USD
		 19	50						S	3000127			H	-8.27		MXN		-0.42		USD

	3800	900023079				RV		02.07.2018			     7	2018		02.07.2018	03.07.2018		SAPBTC_APPL		0082619473
		  1	01		A0		R029		D	29060000			S	       792,118.30		MXN		        40,227.02		USD
		  2	50		A0				S	4000102			H	-99,073.53		MXN		-5,031.36		USD
		  3	40						S	6601050			S	           990.66		MXN		            50.31		USD
		  4	50						S	3000127			H	-990.66		MXN		-50.31		USD
		  5	50		A0				S	4000102			H	-157,561.11		MXN		-8,001.60		USD
		  6	40						S	6601050			S	         1,575.69		MXN		            80.02		USD
		  7	50						S	3000127			H	-1,575.69		MXN		-80.02		USD
		  8	50		A0				S	4000602			H	-144,041.13		MXN		-7,315.00		USD
		  9	40						S	6601050			S	         1,440.41		MXN		            73.15		USD
		 10	50						S	3000127			H	-1,440.41		MXN		-73.15		USD
		 11	50		A0				S	4001402			H	-2,232.98		MXN		-113.40		USD
		 12	40						S	6601050			S	            22.25		MXN		             1.13		USD
		 13	50						S	3000127			H	-22.25		MXN		-1.13		USD
		 14	50		A0				S	4001402			H	-2,232.98		MXN		-113.40		USD
		 15	40						S	6601050			S	            22.25		MXN		             1.13		USD
		 16	50						S	3000127			H	-22.25		MXN		-1.13		USD
		 17	50		A0				S	4001402			H	-1,644.61		MXN		-83.52		USD
		 18	40						S	6601050			S	            16.54		MXN		             0.84		USD
		 19	50						S	3000127			H	-16.54		MXN		-0.84		USD
		 20	50		A0				S	4001402			H	-1,389.41		MXN		-70.56		USD
		 21	40						S	6601050			S	            13.98		MXN		             0.71		USD
		 22	50						S	3000127			H	-13.98		MXN		-0.71		USD
		 23	50		A0				S	4001402			H	-1,389.41		MXN		-70.56		USD
		 24	40						S	6601050			S	            13.98		MXN		             0.71		USD
		 25	50						S	3000127			H	-13.98		MXN		-0.71		USD
		 26	50		A0				S	4000302			H	-110,260.87		MXN		-5,599.50		USD
		 27	40						S	6601050			S	         1,102.71		MXN		            56.00		USD
		 28	50						S	3000127			H	-1,102.71		MXN		-56.00		USD
		 29	50		A0				S	4001402			H	-56,389.30		MXN		-2,863.68		USD
		 30	40						S	6601050			S	           563.96		MXN		            28.64		USD
		 31	50						S	3000127			H	-563.96		MXN		-28.64		USD
		 32	50		A0				S	4000602			H	-144,041.13		MXN		-7,315.00		USD
		 33	40						S	6601050			S	         1,440.41		MXN		            73.15		USD
		 34	50						S	3000127			H	-1,440.41		MXN		-73.15		USD
		 35	50		A0				S	4001402			H	-2,466.91		MXN		-125.28		USD
		 36	40						S	6601050			S	            24.61		MXN		             1.25		USD
		 37	50						S	3000127			H	-24.61		MXN		-1.25		USD
		 38	50		A0				S	4001402			H	-1,389.41		MXN		-70.56		USD
		 39	40						S	6601050			S	            13.98		MXN		             0.71		USD
		 40	50						S	3000127			H	-13.98		MXN		-0.71		USD
		 41	50		A0				S	4001402			H	-66,360.92		MXN		-3,370.08		USD
		 42	40						S	6601050			S	           663.59		MXN		            33.70		USD
		 43	50						S	3000127			H	-663.59		MXN		-33.70		USD
		 44	50		A0				S	4001402			H	-822.30		MXN		-41.76		USD
		 45	40						S	6601050			S	             8.27		MXN		             0.42		USD
		 46	50						S	3000127			H	-8.27		MXN		-0.42		USD
		 47	50		A0				S	4001402			H	-822.30		MXN		-41.76		USD
		 48	40						S	6601050			S	             8.27		MXN		             0.42		USD
		 49	50						S	3000127			H	-8.27		MXN		-0.42		USD

	3800	900023168				RV		03.07.2018			     7	2018		03.07.2018	04.07.2018		SAPBTC_APPL		0082620683
		  1	01		A0		R029		D	29060000			S	       712,135.55		MXN		        35,349.96		USD
		  2	50		A0				S	4000102			H	-32,238.93		MXN		-1,600.32		USD
		  3	40						S	6601050			S	           322.32		MXN		            16.00		USD
		  4	50						S	3000127			H	-322.32		MXN		-16.00		USD
		  5	50		A0				S	4000102			H	-67,572.17		MXN		-3,354.24		USD
		  6	40						S	6601050			S	           675.67		MXN		            33.54		USD
		  7	50						S	3000127			H	-675.67		MXN		-33.54		USD
		  8	50		A0				S	4000102			H	-161,194.63		MXN		-8,001.60		USD
		  9	40						S	6601050			S	         1,612.03		MXN		            80.02		USD
		 10	50						S	3000127			H	-1,612.03		MXN		-80.02		USD
		 11	50		A0				S	4000602			H	-117,890.30		MXN		-5,852.00		USD
		 12	40						S	6601050			S	         1,178.90		MXN		            58.52		USD
		 13	50						S	3000127			H	-1,178.90		MXN		-58.52		USD
		 14	50		A0				S	4001402			H	-2,284.48		MXN		-113.40		USD
		 15	40						S	6601050			S	            22.76		MXN		             1.13		USD
		 16	50						S	3000127			H	-22.76		MXN		-1.13		USD
		 17	50		A0				S	4001402			H	-2,639.84		MXN		-131.04		USD
		 18	40						S	6601050			S	            26.39		MXN		             1.31		USD
		 19	50						S	3000127			H	-26.39		MXN		-1.31		USD
		 20	50		A0				S	4001402			H	-841.27		MXN		-41.76		USD
		 21	40						S	6601050			S	             8.46		MXN		             0.42		USD
		 22	50						S	3000127			H	-8.46		MXN		-0.42		USD
		 23	50		A0				S	4001402			H	-1,421.45		MXN		-70.56		USD
		 24	40						S	6601050			S	            14.30		MXN		             0.71		USD
		 25	50						S	3000127			H	-14.30		MXN		-0.71		USD
		 26	50		A0				S	4001402			H	-1,421.45		MXN		-70.56		USD
		 27	40						S	6601050			S	            14.30		MXN		             0.71		USD
		 28	50						S	3000127			H	-14.30		MXN		-0.71		USD
		 29	50		A0				S	4001402			H	-59,713.89		MXN		-2,964.16		USD
		 30	40						S	6601050			S	           597.11		MXN		            29.64		USD
		 31	50						S	3000127			H	-597.11		MXN		-29.64		USD
		 32	50		A0				S	4000602			H	-117,890.30		MXN		-5,852.00		USD
		 33	40						S	6601050			S	         1,178.90		MXN		            58.52		USD
		 34	50						S	3000127			H	-1,178.90		MXN		-58.52		USD
		 35	50		A0				S	4001402			H	-1,979.88		MXN		-98.28		USD
		 36	40						S	6601050			S	            19.74		MXN		             0.98		USD
		 37	50						S	3000127			H	-19.74		MXN		-0.98		USD
		 38	50		A0				S	4001402			H	-66,740.57		MXN		-3,312.96		USD
		 39	40						S	6601050			S	           667.41		MXN		            33.13		USD
		 40	50						S	3000127			H	-667.41		MXN		-33.13		USD
		 41	50		A0				S	4001402			H	-1,421.45		MXN		-70.56		USD
		 42	40						S	6601050			S	            14.30		MXN		             0.71		USD
		 43	50						S	3000127			H	-14.30		MXN		-0.71		USD
		 44	50		A0				S	4000302			H	-75,202.40		MXN		-3,733.00		USD
		 45	40						S	6601050			S	           752.02		MXN		            37.33		USD
		 46	50						S	3000127			H	-752.02		MXN		-37.33		USD
		 47	50		A0				S	4001402			H	-841.27		MXN		-41.76		USD
		 48	40						S	6601050			S	             8.46		MXN		             0.42		USD
		 49	50						S	3000127			H	-8.46		MXN		-0.42		USD
		 50	50		A0				S	4001402			H	-841.27		MXN		-41.76		USD
		 51	40						S	6601050			S	             8.46		MXN		             0.42		USD
		 52	50						S	3000127			H	-8.46		MXN		-0.42		USD

	3800	900023399				RV		05.07.2018			     7	2018		05.07.2018	06.07.2018		SAPBTC_APPL		0082621866
		  1	01		A0		R029		D	29060000			S	       452,983.25		MXN		        23,315.52		USD
		  2	50		A0				S	4000302			H	-26,857.81		MXN		-1,382.40		USD
		  3	40						S	6601050			S	           268.50		MXN		            13.82		USD
		  4	50						S	3000127			H	-268.50		MXN		-13.82		USD
		  5	50		A0				S	4000302			H	-35,810.43		MXN		-1,843.20		USD
		  6	40						S	6601050			S	           358.07		MXN		            18.43		USD
		  7	50						S	3000127			H	-358.07		MXN		-18.43		USD
		  8	50		A0				S	4000102			H	-274,546.61		MXN		-14,131.20		USD
		  9	40						S	6601050			S	         2,745.43		MXN		           141.31		USD
		 10	50						S	3000127			H	-2,745.43		MXN		-141.31		USD
		 11	50		A0				S	4000302			H	-25,738.74		MXN		-1,324.80		USD
		 12	40						S	6601050			S	           257.43		MXN		            13.25		USD
		 13	50						S	3000127			H	-257.43		MXN		-13.25		USD
		 14	50		A0				S	4000302			H	-38,608.12		MXN		-1,987.20		USD
		 15	40						S	6601050			S	           386.04		MXN		            19.87		USD
		 16	50						S	3000127			H	-386.04		MXN		-19.87		USD
		 17	50		A0				S	4000302			H	-8,924.63		MXN		-459.36		USD
		 18	40						S	6601050			S	            89.18		MXN		             4.59		USD
		 19	50						S	3000127			H	-89.18		MXN		-4.59		USD
		 20	50		A0				S	4000302			H	-8,924.63		MXN		-459.36		USD
		 21	40						S	6601050			S	            89.18		MXN		             4.59		USD
		 22	50						S	3000127			H	-89.18		MXN		-4.59		USD
		 23	50		A0				S	4000302			H	-16,786.14		MXN		-864.00		USD
		 24	40						S	6601050			S	           167.86		MXN		             8.64		USD
		 25	50						S	3000127			H	-167.86		MXN		-8.64		USD
		 26	50		A0				S	4000302			H	-16,786.14		MXN		-864.00		USD
		 27	40						S	6601050			S	           167.86		MXN		             8.64		USD
		 28	50						S	3000127			H	-167.86		MXN		-8.64		USD

	3800	900023402				RV		05.07.2018			     7	2018		05.07.2018	06.07.2018		SAPBTC_APPL		0082621865
		  1	01		A0		R029		D	29060000			S	       671,747.81		MXN		        34,575.56		USD
		  2	50		A0				S	4000102			H	-31,091.64		MXN		-1,600.32		USD
		  3	40						S	6601050			S	           310.85		MXN		            16.00		USD
		  4	50						S	3000127			H	-310.85		MXN		-16.00		USD
		  5	50		A0				S	4001402			H	-2,203.18		MXN		-113.40		USD
		  6	40						S	6601050			S	            21.95		MXN		             1.13		USD
		  7	50						S	3000127			H	-21.95		MXN		-1.13		USD
		  8	50		A0				S	4000102			H	-65,167.52		MXN		-3,354.24		USD
		  9	40						S	6601050			S	           651.63		MXN		            33.54		USD
		 10	50						S	3000127			H	-651.63		MXN		-33.54		USD
		 11	50		A0				S	4000102			H	-124,366.63		MXN		-6,401.28		USD
		 12	40						S	6601050			S	         1,243.61		MXN		            64.01		USD
		 13	50						S	3000127			H	-1,243.61		MXN		-64.01		USD
		 14	50		A0				S	4000602			H	-142,118.75		MXN		-7,315.00		USD
		 15	40						S	6601050			S	         1,421.19		MXN		            73.15		USD
		 16	50						S	3000127			H	-1,421.19		MXN		-73.15		USD
		 17	50		A0				S	4001402			H	-2,937.57		MXN		-151.20		USD
		 18	40						S	6601050			S	            29.34		MXN		             1.51		USD
		 19	50						S	3000127			H	-29.34		MXN		-1.51		USD
		 20	50		A0				S	4001402			H	-2,545.90		MXN		-131.04		USD
		 21	40						S	6601050			S	            25.45		MXN		             1.31		USD
		 22	50						S	3000127			H	-25.45		MXN		-1.31		USD
		 23	50		A0				S	4001402			H	-1,622.66		MXN		-83.52		USD
		 24	40						S	6601050			S	            16.32		MXN		             0.84		USD
		 25	50						S	3000127			H	-16.32		MXN		-0.84		USD
		 26	50		A0				S	4001402			H	-1,370.87		MXN		-70.56		USD
		 27	40						S	6601050			S	            13.79		MXN		             0.71		USD
		 28	50						S	3000127			H	-13.79		MXN		-0.71		USD
		 29	50		A0				S	4001402			H	-55,636.72		MXN		-2,863.68		USD
		 30	40						S	6601050			S	           556.43		MXN		            28.64		USD
		 31	50						S	3000127			H	-556.43		MXN		-28.64		USD
		 32	50		A0				S	4000602			H	-142,118.75		MXN		-7,315.00		USD
		 33	40						S	6601050			S	         1,421.19		MXN		            73.15		USD
		 34	50						S	3000127			H	-1,421.19		MXN		-73.15		USD
		 35	50		A0				S	4001402			H	-2,545.90		MXN		-131.04		USD
		 36	40						S	6601050			S	            25.45		MXN		             1.31		USD
		 37	50						S	3000127			H	-25.45		MXN		-1.31		USD
		 38	50		A0				S	4001402			H	-811.33		MXN		-41.76		USD
		 39	40						S	6601050			S	             8.16		MXN		             0.42		USD
		 40	50						S	3000127			H	-8.16		MXN		-0.42		USD
		 41	50		A0				S	4001402			H	-63,255.76		MXN		-3,255.84		USD
		 42	40						S	6601050			S	           632.59		MXN		            32.56		USD
		 43	50						S	3000127			H	-632.59		MXN		-32.56		USD
		 44	50		A0				S	4000102			H	-32,583.76		MXN		-1,677.12		USD
		 45	40						S	6601050			S	           325.81		MXN		            16.77		USD
		 46	50						S	3000127			H	-325.81		MXN		-16.77		USD
		 47	50		A0				S	4001402			H	-1,370.87		MXN		-70.56		USD
		 48	40						S	6601050			S	            13.79		MXN		             0.71		USD
		 49	50						S	3000127			H	-13.79		MXN		-0.71		USD

	3800	900023434				RV		05.07.2018			     7	2018		05.07.2018	06.07.2018		SAPBTC_APPL		0082623253
		  1	01		A0		R029		D	29060000			S	       655,945.92		MXN		        33,762.22		USD
		  2	50		A0				S	4000102			H	-97,751.27		MXN		-5,031.36		USD
		  3	40						S	6601050			S	           977.44		MXN		            50.31		USD
		  4	50						S	3000127			H	-977.44		MXN		-50.31		USD
		  5	50		A0				S	4000102			H	-31,091.66		MXN		-1,600.32		USD
		  6	40						S	6601050			S	           310.85		MXN		            16.00		USD
		  7	50						S	3000127			H	-310.85		MXN		-16.00		USD
		  8	50		A0				S	4001402			H	-2,937.57		MXN		-151.20		USD
		  9	40						S	6601050			S	            29.34		MXN		             1.51		USD
		 10	50						S	3000127			H	-29.34		MXN		-1.51		USD
		 11	50		A0				S	4000102			H	-124,366.63		MXN		-6,401.28		USD
		 12	40						S	6601050			S	         1,243.61		MXN		            64.01		USD
		 13	50						S	3000127			H	-1,243.61		MXN		-64.01		USD
		 14	50		A0				S	4000602			H	-113,695.00		MXN		-5,852.00		USD
		 15	40						S	6601050			S	         1,136.95		MXN		            58.52		USD
		 16	50						S	3000127			H	-1,136.95		MXN		-58.52		USD
		 17	50		A0				S	4001402			H	-2,203.18		MXN		-113.40		USD
		 18	40						S	6601050			S	            21.95		MXN		             1.13		USD
		 19	50						S	3000127			H	-21.95		MXN		-1.13		USD
		 20	50		A0				S	4001402			H	-1,909.42		MXN		-98.28		USD
		 21	40						S	6601050			S	            19.04		MXN		             0.98		USD
		 22	50						S	3000127			H	-19.04		MXN		-0.98		USD
		 23	50		A0				S	4001402			H	-811.33		MXN		-41.76		USD
		 24	40						S	6601050			S	             8.16		MXN		             0.42		USD
		 25	50						S	3000127			H	-8.16		MXN		-0.42		USD
		 26	50		A0				S	4001402			H	-811.33		MXN		-41.76		USD
		 27	40						S	6601050			S	             8.16		MXN		             0.42		USD
		 28	50						S	3000127			H	-8.16		MXN		-0.42		USD
		 29	50		A0				S	4001402			H	-1,370.87		MXN		-70.56		USD
		 30	40						S	6601050			S	            13.79		MXN		             0.71		USD
		 31	50						S	3000127			H	-13.79		MXN		-0.71		USD
		 32	50		A0				S	4001402			H	-1,370.87		MXN		-70.56		USD
		 33	40						S	6601050			S	            13.79		MXN		             0.71		USD
		 34	50						S	3000127			H	-13.79		MXN		-0.71		USD
		 35	50		A0				S	4000302			H	-36,263.11		MXN		-1,866.50		USD
		 36	40						S	6601050			S	           362.73		MXN		            18.67		USD
		 37	50						S	3000127			H	-362.73		MXN		-18.67		USD
		 38	50		A0				S	4001402			H	-64,365.51		MXN		-3,312.96		USD
		 39	40						S	6601050			S	           643.66		MXN		            33.13		USD
		 40	50						S	3000127			H	-643.66		MXN		-33.13		USD
		 41	50		A0				S	4001402			H	-57,588.89		MXN		-2,964.16		USD
		 42	40						S	6601050			S	           575.86		MXN		            29.64		USD
		 43	50						S	3000127			H	-575.86		MXN		-29.64		USD
		 44	50		A0				S	4000602			H	-113,695.00		MXN		-5,852.00		USD
		 45	40						S	6601050			S	         1,136.95		MXN		            58.52		USD
		 46	50						S	3000127			H	-1,136.95		MXN		-58.52		USD
		 47	50		A0				S	4001402			H	-1,909.42		MXN		-98.28		USD
		 48	40						S	6601050			S	            19.04		MXN		             0.98		USD
		 49	50						S	3000127			H	-19.04		MXN		-0.98		USD
		 50	50		A0				S	4001402			H	-1,370.87		MXN		-70.56		USD
		 51	40						S	6601050			S	            13.79		MXN		             0.71		USD
		 52	50						S	3000127			H	-13.79		MXN		-0.71		USD
		 53	50		A0				S	4001402			H	-811.33		MXN		-41.76		USD
		 54	40						S	6601050			S	             8.16		MXN		             0.42		USD
		 55	50						S	3000127			H	-8.16		MXN		-0.42		USD
		 56	50		A0				S	4001402			H	-811.33		MXN		-41.76		USD
		 57	40						S	6601050			S	             8.16		MXN		             0.42		USD
		 58	50						S	3000127			H	-8.16		MXN		-0.42		USD
		 59	50		A0				S	4001402			H	-811.33		MXN		-41.76		USD
		 60	40						S	6601050			S	             8.16		MXN		             0.42		USD
		 61	50						S	3000127			H	-8.16		MXN		-0.42		USD

	3800	900023622				RV		06.07.2018			     7	2018		06.07.2018	07.07.2018		SAPBTC_APPL		0082624326
		  1	01		A0		R029		D	29060000			S	       809,134.57		MXN		        41,647.00		USD
		  2	50		A0				S	4000102			H	-62,183.30		MXN		-3,200.64		USD
		  3	40						S	6601050			S	           621.90		MXN		            32.01		USD
		  4	50						S	3000127			H	-621.90		MXN		-32.01		USD
		  5	50		A0				S	4001402			H	-2,203.18		MXN		-113.40		USD
		  6	40						S	6601050			S	            21.95		MXN		             1.13		USD
		  7	50						S	3000127			H	-21.95		MXN		-1.13		USD
		  8	50		A0				S	4000302			H	-72,526.22		MXN		-3,733.00		USD
		  9	40						S	6601050			S	           725.26		MXN		            37.33		USD
		 10	50						S	3000127			H	-725.26		MXN		-37.33		USD
		 11	50		A0				S	4000102			H	-97,751.27		MXN		-5,031.36		USD
		 12	40						S	6601050			S	           977.44		MXN		            50.31		USD
		 13	50						S	3000127			H	-977.44		MXN		-50.31		USD
		 14	50		A0				S	4000102			H	-155,458.29		MXN		-8,001.60		USD
		 15	40						S	6601050			S	         1,554.66		MXN		            80.02		USD
		 16	50						S	3000127			H	-1,554.66		MXN		-80.02		USD
		 17	50		A0				S	4001402			H	-57,588.89		MXN		-2,964.16		USD
		 18	40						S	6601050			S	           575.86		MXN		            29.64		USD
		 19	50						S	3000127			H	-575.86		MXN		-29.64		USD
		 20	50		A0				S	4000602			H	-142,118.75		MXN		-7,315.00		USD
		 21	40						S	6601050			S	         1,421.19		MXN		            73.15		USD
		 22	50						S	3000127			H	-1,421.19		MXN		-73.15		USD
		 23	50		A0				S	4000602			H	-142,118.75		MXN		-7,315.00		USD
		 24	40						S	6601050			S	         1,421.19		MXN		            73.15		USD
		 25	50						S	3000127			H	-1,421.19		MXN		-73.15		USD
		 26	50		A0				S	4001402			H	-2,203.18		MXN		-113.40		USD
		 27	40						S	6601050			S	            21.95		MXN		             1.13		USD
		 28	50						S	3000127			H	-21.95		MXN		-1.13		USD
		 29	50		A0				S	4001402			H	-1,909.42		MXN		-98.28		USD
		 30	40						S	6601050			S	            19.04		MXN		             0.98		USD
		 31	50						S	3000127			H	-19.04		MXN		-0.98		USD
		 32	50		A0				S	4001402			H	-1,909.42		MXN		-98.28		USD
		 33	40						S	6601050			S	            19.04		MXN		             0.98		USD
		 34	50						S	3000127			H	-19.04		MXN		-0.98		USD
		 35	50		A0				S	4001402			H	-811.33		MXN		-41.76		USD
		 36	40						S	6601050			S	             8.16		MXN		             0.42		USD
		 37	50						S	3000127			H	-8.16		MXN		-0.42		USD
		 38	50		A0				S	4001402			H	-811.33		MXN		-41.76		USD
		 39	40						S	6601050			S	             8.16		MXN		             0.42		USD
		 40	50						S	3000127			H	-8.16		MXN		-0.42		USD
		 41	50		A0				S	4001402			H	-1,370.87		MXN		-70.56		USD
		 42	40						S	6601050			S	            13.79		MXN		             0.71		USD
		 43	50						S	3000127			H	-13.79		MXN		-0.71		USD
		 44	50		A0				S	4001402			H	-811.33		MXN		-41.76		USD
		 45	40						S	6601050			S	             8.16		MXN		             0.42		USD
		 46	50						S	3000127			H	-8.16		MXN		-0.42		USD
		 47	50		A0				S	4001402			H	-1,370.87		MXN		-70.56		USD
		 48	40						S	6601050			S	            13.79		MXN		             0.71		USD
		 49	50						S	3000127			H	-13.79		MXN		-0.71		USD
		 50	50		A0				S	4001402			H	-64,365.51		MXN		-3,312.96		USD
		 51	40						S	6601050			S	           643.66		MXN		            33.13		USD
		 52	50						S	3000127			H	-643.66		MXN		-33.13		USD
		 53	50		A0				S	4001402			H	-811.33		MXN		-41.76		USD
		 54	40						S	6601050			S	             8.16		MXN		             0.42		USD
		 55	50						S	3000127			H	-8.16		MXN		-0.42		USD
		 56	50		A0				S	4001402			H	-811.33		MXN		-41.76		USD
		 57	40						S	6601050			S	             8.16		MXN		             0.42		USD
		 58	50						S	3000127			H	-8.16		MXN		-0.42		USD

	3800	900023703				RV		07.07.2018			     7	2018		07.07.2018	08.07.2018		SAPBTC_APPL		0082624343
		  1	01		A0		R029		D	29060000			S	       808,913.09		MXN		        41,635.60		USD
		  2	50		A0				S	4000102			H	-97,751.25		MXN		-5,031.36		USD
		  3	40						S	6601050			S	           977.44		MXN		            50.31		USD
		  4	50						S	3000127			H	-977.44		MXN		-50.31		USD
		  5	50		A0				S	4000102			H	-32,583.76		MXN		-1,677.12		USD
		  6	40						S	6601050			S	           325.81		MXN		            16.77		USD
		  7	50						S	3000127			H	-325.81		MXN		-16.77		USD
		  8	50		A0				S	4000102			H	-31,091.66		MXN		-1,600.32		USD
		  9	40						S	6601050			S	           310.85		MXN		            16.00		USD
		 10	50						S	3000127			H	-310.85		MXN		-16.00		USD
		 11	50		A0				S	4000102			H	-186,549.94		MXN		-9,601.92		USD
		 12	40						S	6601050			S	         1,865.51		MXN		            96.02		USD
		 13	50						S	3000127			H	-1,865.51		MXN		-96.02		USD
		 14	50		A0				S	4000602			H	-142,118.75		MXN		-7,315.00		USD
		 15	40						S	6601050			S	         1,421.19		MXN		            73.15		USD
		 16	50						S	3000127			H	-1,421.19		MXN		-73.15		USD
